% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%stayforage = [.1, .5, .9]
%learnalg = [r, n, b]
% 	Parameters		Results
Timestep	stayforage	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, .334, .333, .001, 25, 0, .1, true, r, .01]
99000	.1	r	3.1976637618397885E-4	0.4714720763789527	0.49769751247513383	0.999680233597504	0.9997678243482848	0.9877710963363397	0.13170707070707072	0.13170707070707072	0.5736767676767677	384.0	614.0	2.0	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, .334, .333, .001, 25, 0, .1, true, n, .01]
0	.1	n	0.5	0.5	0.5	0.5	0.5	0.5	NaN	NaN	NaN	334.0	333.0	333.0	
1000	.1	n	0.04547446088777452	0.4958652449905794	0.5008136058641577	0.9545255391122087	0.9572634077607198	0.7530160488985786	0.204	0.203	0.759	353.0	343.0	303.0	
2000	.1	n	0.032739969487960915	0.4930746930484773	0.5004753607890385	0.9672600305120568	0.9654284359559167	0.824781218511811	0.205	0.205	0.9825	345.0	357.0	298.0	
3000	.1	n	0.0291753501154003	0.49221336524118753	0.49924208198365644	0.9708246498846471	0.9726539303753909	0.8403251416036713	0.20033333333333334	0.20033333333333334	0.8746666666666667	355.0	358.0	287.0	
4000	.1	n	0.031116312609277323	0.49092699409108814	0.4995053206617637	0.9688836873907941	0.9715059657806041	0.8467487454928191	0.2015	0.20125	0.78525	342.0	378.0	279.0	
5000	.1	n	0.025640181083551813	0.4877653061210245	0.496843442741852	0.9743598189165117	0.9719311368131156	0.8420014776818686	0.2014	0.2014	0.8514	339.0	387.0	274.0	
6000	.1	n	0.02855243929740674	0.48482183760969455	0.4964923011120402	0.9714475607026675	0.971962211468171	0.8536686000751459	0.2	0.2	0.831	343.0	386.0	271.0	
7000	.1	n	0.026108244618735094	0.48570838903491526	0.4994229623123653	0.9738917553813494	0.9714303852706577	0.8597540024911634	0.1992857142857143	0.1992857142857143	0.8234285714285714	349.0	397.0	254.0	
